Transmittal of LER 15-S01-00 for Seabrook Station Regarding Obstruction Discovered in Response Rifle.,ML15295A297,2015-10-30,2015-10-16,41.63 Kb,1
"V.C. Summer, Unit 1 - Special Report (SPR) 2015-002 Regarding One or More Required Meteorological Monitoring Channels Being Inoperable for More Than Seven (7) Days.",ML15310A041,2015-11-17,2015-11-03,44.09 Kb,1
"V.C. Summer, Unit 1 - Submittal of Special Report (SPR) 2015-001 Regarding the Loose-Part Monitoring System (LPMS) Channel Number 8 Being Inoperable in Excess of 30 Days.",ML15237A042,2015-09-02,2015-08-20,44.64 Kb,1
"V.C. Summer, Unit 1 - Special Report (SPR) 2014-005-01, Loss or Theft of License Material.",ML15356A047,2015-12-31,2015-12-16,51.4 Kb,1
LER 14-010-02 for Monticello Regarding Physical Security Plan Inaccuracy Revealed Past Security Vulnerability.,ML15187A396,2015-07-15,2015-07-01,54.68 Kb,1
LER 15-007-00 for Waterford 3 Steam Electric Station Regarding Both Emergency Diesel Generators Declared Inoperable.,ML15296A464,2015-11-02,2015-10-23,62.07 Kb,8
"Three Mile Island, Unit 1 - Special Report - Radioactive Gaseous Process and Effluent Monitoring Instrumentation.",ML15132A649,2015-05-20,2015-05-08,64.43 Kb,2
"Cooper - Retraction of Licensee Event Report 2014-005-00, ""Lube Oil Leak Results in a Potential Condition Prohibited by Technical Specifications and a Potential Loss of Safety Function.""",ML15167A067,2015-06-24,2015-06-09,79.44 Kb,2
"LER 15-006-00 for Point Beach, Unit 1, Regarding Automatic Reactor Trip.",ML15350A070,2015-12-24,2015-12-16,87.48 Kb,3
"LER 15-005-00 for Point Beach, Unit 2, Regarding Main Transformer Lockout and Associated Loss of Buses Results in System Actuation.",ML15350A068,2015-12-24,2015-12-16,89.36 Kb,3
"Turkey, Unit 3 - Special Report Regarding Accident Monitoring Instrumentation.",ML15254A047,2015-09-21,2015-08-27,89.56 Kb,3
"LER 15-006-01 for Point Beach, Unit 1, Regarding Automatic Reactor Trip - Revision.",ML15362A365,2016-01-06,2015-12-28,94.1 Kb,3
"LER 15-005-01 for Point Beach, Unit 2, Regarding Main Transformer Lockout and Associated Loss of Buses Results in System Actuation - Revision.",ML15362A364,2016-01-06,2015-12-28,97.55 Kb,3
"LER, Seabrook Station - Technical Specification Special Report Radiation Monitor Inoperable Greater than 7 Days.",ML15287A397,2015-10-22,2015-09-25,114.57 Kb,4
"LER 15-004-00 for Point Beach Nuclear Plant Unit 1, Regarding Emergency Diesel Generator Switchgear Room Exhaust Fan Removal From Service Results in Operation or Condition Prohibited by Technical Specifications.",ML15215A263,2015-08-11,2015-08-03,119.5 Kb,4
"LER 15-002-00 for Brunswick, Unit 2, Regarding Setpoint Drift in Main Steam Line Safety/Relief Valves Results in Three Valves Inoperable.",ML15133A320,2015-05-21,2015-05-05,122.68 Kb,3
"LER 15-002-00 for Point Beach, Unit 1, Regarding Manual Reactor Trip.",ML15030A465,2015-02-09,2015-01-30,123.55 Kb,4
"LER 15-003-01 for Point Beach, Unit 1, Regarding D-107 Battery Charger Failure to Limit Current Results in Operation or Condition Prohibited by Technical Specifications - Revision.",ML15266A454,2015-10-01,2015-09-23,124.77 Kb,4
"LER 15-003-00 for Brunswick, Unit 2, Regarding Oil Leak Renders Residual Heat Removal Service Water System Pump Inoperable.",ML15173A012,2015-06-30,2015-06-08,128.02 Kb,3
"LER 15-003-00 for Point Beach, Units 1 and 2, Regarding D-107 Battery Charger Failure to Limit Current Results in Operation or Condition Prohibited by Technical Specifications.",ML15128A301,2015-05-18,2015-05-08,131.61 Kb,4
"LER 15-001-00 for Point Beach Nuclear Plant Unit 1, Regarding Inadequately Sealed Pipe Penetrations Result in Unanalyzed Condition for Internal Flooding.",ML15019A025,2015-01-28,2015-01-19,135.22 Kb,4
"LER 15-002-00 for Limerick, Unit 1, Regarding Condition Prohibited by Technical Specifications Due to Standby Gas Treatment System Subsystem Inoperable.",ML15295A128,2015-10-30,2015-10-22,153.94 Kb,4
"LER 15-004-00 for Limerick, Unit 2, Regarding Valid Manual Actuation of the Primary Containment Isolation System.",ML15232A734,2015-08-28,2015-08-20,156.91 Kb,4
"LER 15-006-00 for Limerick, Unit 2, Regarding Condition That Could Have Prevented Fulfillment of the Reactor Enclosure Secondary Containment Integrity Safety Function.",ML15363A002,2016-01-07,2015-12-29,157.48 Kb,5
"LER 15-005-00, Limerick Station, Unit 1, Condition That Could Have Prevented Fulfillment of the High Pressure Coolant Injection (HPCI) System Safety Function.",ML15306A087,2015-11-10,2015-11-02,157.61 Kb,5
"LER 14-004-01 for Waterford 3 Steam Electric Station, Regarding Emergency Diesel Generators Rendered Inoperable By Potential Water Intrusion Into Diesel Fuel Oil Feed Tanks.",ML15047A018,2015-02-25,2015-02-16,162.37 Kb,8
"LER 15-002-00 for Limerick, Unit 2, Regarding Valid Manual Actuation of the Reactor Protection System While Shutdown.",ML15163A191,2015-06-22,2015-06-12,165.37 Kb,4
"LER 14-007-00 for Limerick Generating Station, Unit 2 Regarding  Condition That Could Have Prevented Fulfillment of the Reactor Enclosure Secondary Containment Integrity Safety Function.",ML15035A262,2015-02-12,2015-02-04,168.7 Kb,5
"LER 15-003-00 for Limerick, Unit 2, Regarding Condition That Could Have Prevented Fulfillment of the Reactor Enclosure Secondary Containment Integrity Safety Function.",ML15211A168,2015-08-07,2015-07-30,170.01 Kb,5
"LER 15-001-00 for Limerick Generating Station, Unit 1, Regarding Valid Automatic Actuation of the Reactor Protection System With the Reactor Critical Due to One MSIV Closure.",ML15114A236,2015-05-04,2015-04-24,172.42 Kb,4
"Prairie Island, Unit 1, Cancellation of License Event Report (LER)50-282/2015-001-00, 14 Fan Coil Unit Leak.",ML15247A355,2015-09-15,2015-09-03,174.24 Kb,2
"Brunswick, Unit 1 - Special Report, Technical Specification 5.6.6, Post Accident Monitoring (PAM) Instrumentation Report.",ML15313A169,2015-11-18,2015-10-22,177.71 Kb,5
"LER 15-002-00 Prairie Island, Unit 1 - Cancellation of Licensee Event Report (LER) 50-282/2015-002-00, 14 Fan Coil Unit Leak (Lower Head).",ML15247A349,2015-09-15,2015-09-03,180.2 Kb,2
"LER 15-001-00 for St. Lucie, Unit 1, Regarding Reactor Trip While Performing Reactor Protection System Logic Matrix Test.",ML15301A254,2015-11-05,2015-10-07,180.4 Kb,4
"LER 14-001-00 for Dresden Nuclear Power Station, Unit 3, Regarding Electromatic Relief Valve Failing to Actuate During Surveillance Testing.",ML15035A062,2015-02-12,2015-01-05,182.37 Kb,4
LER 14-002-00 for St. Lucie Unit 2 Regarding Shutdown Due to Spurious Closure of Main Feed Isolation Valve (MFIV).,ML15035A059,2015-02-12,2015-01-12,185.96 Kb,4
"LER 15-002-01 for LaSalle County Station, Unit 2, Regarding Two Main Steam Safety Relief Valves Failed Inservice Lift Inspection Pressure Test.",ML15218A006,2015-08-14,2015-07-15,186.32 Kb,4
"LER 15-002-00 for Dresden, Unit 2, Regarding 2C ERV Failed to Actuate during Extent of Condition Testing.",ML15097A008,2015-04-15,2015-04-03,192.97 Kb,4
LER 15-005-00 for Duane Arnold Regarding Automatic Start of Both Emergency Diesel Generators Due to Lightning Strike.,ML15352A030,2015-12-29,2015-12-16,193.62 Kb,4
"LER 15-003-00 for Columbia Generating Station Regarding Implementation of Enforcement Guidance Memorandum (EGM) 11-003, Revision 2.",ML15188A416,2015-07-15,2015-07-07,196.57 Kb,4
"LER 15-002-00 for Braidwood Station, Unit 1, Regarding Indication in Control Rod Drive Mechanism Nozzle Weld due to Embedded Flaws Opening Up from Thermal and Pressure Stresses during Operation.",ML15153A398,2015-06-10,2015-06-02,197.74 Kb,3
"LER 15-001-00 for Dresden, Unit 3, Regarding Main Steam Line Flow Switches Found Outside Tech Spec Allowed Value.",ML15306A446,2015-11-10,2015-10-29,200.37 Kb,4
"LER 15-001-00 for Dresden Nuclear Power Station, Unit 2, Regarding Unit 2 Scram due to Feedwater Level Control Issues.",ML15068A351,2015-03-17,2015-03-06,201.49 Kb,4
"LER 13-011-00 for Hope Creek, Unit 1, Regarding Filtration, Recirculation, and Ventilation System Exceeded Technical Specification Allowed Outage Time.",ML15084A117,2015-04-02,2015-03-25,201.51 Kb,5
"LER 15-003-00 for LaSalle County, Unit 2, Regarding Reactor Recirculation Loop Discharge Isolation Valve Vent Line Leak Due to Weld Defect.",ML15279A190,2015-10-15,2015-10-06,201.59 Kb,4
LER 15-002-00 for Donald C. Cook Unit 1 Regarding Technical Specification Violation due to Inoperable Residual Heat Removal Pump.,ML15225A467,2015-08-21,2015-08-12,205.62 Kb,4
"LER 15-002-00 for St. Lucie, Unit 2, Regarding 2A Emergency Diesel Generator Actuation Logic.",ML15329A373,2015-12-04,2015-11-16,206.01 Kb,4
"LER 15-005-00 for Dresden, Unit 2, Regarding HPCI Motor Gear Unit Would Not Return to Full Flow During Testing.",ML15306A496,2015-11-10,2015-10-30,206.11 Kb,4
LER 15-004-00 for Monticello Regarding Past Inoperability of Turbine Stop Valve Scram Function Exceeded Technical Specification Requirements.,ML15233A477,2015-08-31,2015-08-21,206.36 Kb,4
"LER 15-001-01 for Hope Creek, Unit 1, Regarding Conditions Prohibited by Technical Specifications Due to Core Spray lnoperabilities.",ML15181A245,2015-07-09,2015-06-30,212.34 Kb,6
"LER 15-001-01 for R.E. Ginna Regarding Human Performance Error During Data Collection Activity Results in a Condition Prohibited by Technical Specification 3.1.7, ""Rod Position Indication.""",ML15271A160,2015-10-06,2015-09-24,213.85 Kb,5
"LER 14-001-01 for Waterford, Unit 3, Regarding Room Cooler Breaker Inoperability Causes Past Inoperability of Containment Spray System Train.",ML15128A504,2015-05-18,2015-05-07,214.61 Kb,7
"LER 15-001-00 for R.E. Ginna Regarding Human Performance Error During Data Collection Activity Results in a Condition Prohibited by Technical Specification 3.1.7, ""Rod Position Indication.""",ML15243A030,2015-09-09,2015-08-26,215.22 Kb,5
LER 14-004-00 for Davis-Besse Nuclear Power Station Regarding Deficiency in Loss of Coolant Accident Analysis Adversely Affected Predicted Peak Cladding Temperature.,ML15028A192,2015-02-05,2015-01-23,215.39 Kb,4
LER 13-007-02 for Monticello Nuclear Generating Plant Regarding Unanalyzed Condition Due to Inadequate Flooding Procedures.,ML15029A638,2015-02-06,2015-01-27,216.02 Kb,5
"LER 14-004-02 for Waterford 3 Steam Electric Station, Regarding Emergency Diesel Generators Rendered Inoperable By Potential Water Intrusion Into Diesel Fuel Oil Feed Tanks.",ML15127A480,2015-05-15,2015-05-07,216.24 Kb,8
LER 14-002-01 for St. Lucie Regarding Unit 2 Shutdown Due to Spurious Closure of Main Feed Isolation Valve (MFIV).,ML15103A484,2015-04-21,2015-04-03,217 Kb,4
LER 15-003-00 for Hope Creek Generating Station Regarding Conditions Prohibited by Technical Specifications Due to Low Pressure ECCS.,ML15187A207,2015-07-14,2015-07-06,219.18 Kb,6
"LER 15-002-00 for Salem Generating Station, Unit 1, Regarding Condition Prohibited by Technical Specification for One Channel of Steam Generator Level Indication Inoperable.",ML15100A247,2015-04-20,2015-04-10,220.29 Kb,5
"LER 15-006-00 for Salem Generating Station - Unit 1, Regarding Pressurizer Power Operated Relief Valves and Block Valves Do Not Meet the Requirements of 10 CFR 50 Appendix R.",ML15297A027,2015-11-03,2015-10-23,220.45 Kb,6
"LER 15-005-00 for Hope Creek, Unit 1 Regarding Reactor Scram Due to Invalid RRCS Actuation.",ML15329A093,2015-12-04,2015-11-24,221.49 Kb,5
"LER 15-001-00 for Surry Power Station, Units 1 and 2 Regarding Inadequate Missile Protection Due to Failure to Procedurally Control Sliding Missile Shields.",ML15103A270,2015-04-23,2015-03-30,222.83 Kb,4
